metro_area_name,state_abbreviation,total_population,total_housing_units,occupied_housing_units,vacant_housing_units,percent_occupied,percent_vacant
"Anchorage, AK",AK,398807,170949,150581,20368,88.1,11.9
"Fairbanks, AK",AK,95593,42673,36426,6247,85.4,14.6
"Anniston-Oxford, AL",AL,115972,53211,44631,8580,83.9,16.1
"Auburn-Opelika, AL",AL,177218,77656,67358,10298,86.7,13.3
"Birmingham-Hoover, AL",AL,1114262,493436,436615,56821,88.5,11.5
"Daphne-Fairhope-Foley, AL",AL,239294,128533,94105,34428,73.2,26.8
"Decatur, AL",AL,156758,68846,60796,8050,88.3,11.7
"Dothan, AL",AL,151618,71409,61173,10236,85.7,14.3
"Florence-Muscle Shoals, AL",AL,151517,72605,61492,11113,84.7,15.3
"Gadsden, AL",AL,103162,47420,38006,9414,80.1,19.9
"Huntsville, AL",AL,502728,217510,205178,12332,94.3,5.7
"Mobile, AL",AL,430714,193283,168977,24306,87.4,12.6
"Montgomery, AL",AL,386814,172160,150996,21164,87.7,12.3
"Tuscaloosa, AL",AL,266638,123273,101825,21448,82.6,17.4
"Fayetteville-Springdale-Rogers, AR",AR,558507,228545,206712,21833,90.4,9.6
"Fort Smith, AR-OK",AR,247661,109040,97188,11852,89.1,10.9
"Hot Springs, AR",AR,100330,52479,42077,10402,80.2,19.8
"Jonesboro, AR",AR,134878,58282,51155,7127,87.8,12.2
"Little Rock-North Little Rock-Conway, AR",AR,749673,340105,308436,31669,90.7,9.3
"Pine Bluff, AR",AR,86747,38316,30092,8224,78.5,21.5
"Flagstaff, AZ",AZ,145052,70055,55145,14910,78.7,21.3
"Lake Havasu City-Kingman, AZ",AZ,217692,119446,102398,17048,85.7,14.3
"Phoenix-Mesa-Chandler, AZ",AZ,4946145,2028321,1863195,165126,91.9,8.1
"Prescott Valley-Prescott, AZ",AZ,242253,123886,112075,11811,90.5,9.5
"Sierra Vista-Douglas, AZ",AZ,126050,59159,49952,9207,84.4,15.6
"Tucson, AZ",AZ,1052030,474804,433148,41656,91.2,8.8
"Yuma, AZ",AZ,206990,93797,74981,18816,79.9,20.1
"Bakersfield, CA",CA,917673,303865,282963,20902,93.1,6.9
"Chico, CA",CA,208309,90309,81353,8956,90.1,9.9
"El Centro, CA",CA,179851,57101,47849,9252,83.8,16.2
"Fresno, CA",CA,1013581,341732,322646,19086,94.4,5.6
"Hanford-Corcoran, CA",CA,153443,46761,43143,3618,92.3,7.7
"Los Angeles-Long Beach-Anaheim, CA",CA,12997353,4759244,4452780,306464,93.6,6.4
"Madera, CA",CA,159410,49992,44048,5944,88.1,11.9
"Merced, CA",CA,286461,89328,84967,4361,95.1,4.9
"Modesto, CA",CA,552999,183911,174209,9702,94.7,5.3
"Napa, CA",CA,136207,55319,49979,5340,90.3,9.7
"Oxnard-Thousand Oaks-Ventura, CA",CA,839784,294645,279168,15477,94.7,5.3
"Redding, CA",CA,182139,79713,71506,8207,89.7,10.3
"Riverside-San Bernardino-Ontario, CA",CA,4653105,1594586,1441602,152984,90.4,9.6
"Sacramento-Roseville-Folsom, CA",CA,2411428,943601,879647,63954,93.2,6.8
"Salinas, CA",CA,437325,144365,133224,11141,92.3,7.7
"San Diego-Chula Vista-Carlsbad, CA",CA,3286069,1237685,1162896,74789,94,6
"San Francisco-Oakland-Berkeley, CA",CA,4623264,1865091,1719049,146042,92.2,7.8
"San Jose-Sunnyvale-Santa Clara, CA",CA,1952185,714244,670900,43344,93.9,6.1
"San Luis Obispo-Paso Robles, CA",CA,283159,124737,107571,17166,86.2,13.8
"Santa Cruz-Watsonville, CA",CA,267792,106541,97353,9188,91.4,8.6
"Santa Maria-Santa Barbara, CA",CA,446475,159771,150550,9221,94.2,5.8
"Santa Rosa-Petaluma, CA",CA,485887,205898,190586,15312,92.6,7.4
"Stockton, CA",CA,789410,255199,241760,13439,94.7,5.3
"Vallejo, CA",CA,451716,163340,157617,5723,96.5,3.5
"Visalia, CA",CA,477054,152729,143541,9188,94,6
"Yuba City, CA",CA,182484,64616,61597,3019,95.3,4.7
"Boulder, CO",CO,329543,143145,135607,7538,94.7,5.3
"Colorado Springs, CO",CO,762792,309704,294814,14890,95.2,4.8
"Denver-Aurora-Lakewood, CO",CO,2972567,1265033,1192117,72916,94.2,5.8
"Fort Collins, CO",CO,362533,162058,152123,9935,93.9,6.1
"Grand Junction, CO",CO,157335,68657,63796,4861,92.9,7.1
"Greeley, CO",CO,340036,124914,119502,5412,95.7,4.3
"Pueblo, CO",CO,169622,72983,69078,3905,94.6,5.4
"Bridgeport-Stamford-Norwalk, CT",CT,959768,380697,357271,23426,93.8,6.2
"Hartford-East Hartford-Middletown, CT",CT,1211906,523912,488173,35739,93.2,6.8
"New Haven-Milford, CT",CT,863700,370779,349089,21690,94.2,5.8
"Norwich-New London, CT",CT,268805,123388,110950,12438,89.9,10.1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC,6358652,2525717,2384977,140740,94.4,5.6
"Dover, DE",DE,184149,75093,70167,4926,93.4,6.6
"Cape Coral-Fort Myers, FL",FL,787976,428910,320466,108444,74.7,25.3
"Crestview-Fort Walton Beach-Destin, FL",FL,293324,160839,118438,42401,73.6,26.4
"Deltona-Daytona Beach-Ormond Beach, FL",FL,685344,335095,291531,43564,87,13
"Gainesville, FL",FL,344881,155873,134946,20927,86.6,13.4
"Homosassa Springs, FL",FL,158083,82837,68269,14568,82.4,17.6
"Jacksonville, FL",FL,1637666,709642,644887,64755,90.9,9.1
"Lakeland-Winter Haven, FL",FL,753520,327817,276469,51348,84.3,15.7
"Miami-Fort Lauderdale-Pompano Beach, FL",FL,6091747,2662580,2306639,355941,86.6,13.4
"Naples-Marco Island, FL",FL,385980,233635,163943,69692,70.2,29.8
"North Port-Sarasota-Bradenton, FL",FL,859760,471288,367538,103750,78,22
"Ocala, FL",FL,385915,181743,157348,24395,86.6,13.4
"Orlando-Kissimmee-Sanford, FL",FL,2691925,1117189,990500,126689,88.7,11.3
"Palm Bay-Melbourne-Titusville, FL",FL,616628,294237,254314,39923,86.4,13.6
"Panama City, FL",FL,179168,106144,79532,26612,74.9,25.1
"Pensacola-Ferry Pass-Brent, FL",FL,516388,226068,198702,27366,87.9,12.1
"Port St. Lucie, FL",FL,503521,235345,200954,34391,85.4,14.6
"Punta Gorda, FL",FL,194843,113469,88988,24481,78.4,21.6
"Sebastian-Vero Beach, FL",FL,163662,84979,69974,15005,82.3,17.7
"Sebring-Avon Park, FL",FL,103296,57922,46166,11756,79.7,20.3
"Tallahassee, FL",FL,387127,175109,155921,19188,89,11
"Tampa-St. Petersburg-Clearwater, FL",FL,3219514,1489450,1309614,179836,87.9,12.1
"The Villages, FL",FL,135638,79684,68792,10892,86.3,13.7
"Albany, GA",GA,146961,67113,57880,9233,86.2,13.8
"Athens-Clarke County, GA",GA,217382,91171,87263,3908,95.7,4.3
"Atlanta-Sandy Springs-Alpharetta, GA",GA,6144970,2451238,2277482,173756,92.9,7.1
"Augusta-Richmond County, GA-SC",GA,616395,267028,222266,44762,83.2,16.8
"Brunswick, GA",GA,115033,59063,46763,12300,79.2,20.8
"Columbus, GA-AL",GA,326491,144715,127247,17468,87.9,12.1
"Dalton, GA",GA,142799,55435,50580,4855,91.2,8.8
"Gainesville, GA",GA,207369,79019,72454,6565,91.7,8.3
"Hinesville, GA",GA,79371,33045,29290,3755,88.6,11.4
"Macon-Bibb County, GA",GA,232775,105240,85760,19480,81.5,18.5
"Rome, GA",GA,98771,40761,35417,5344,86.9,13.1
"Savannah, GA",GA,410008,178565,160666,17899,90,10
"Valdosta, GA",GA,147916,63704,55279,8425,86.8,13.2
"Warner Robins, GA",GA,195246,79735,70357,9378,88.2,11.8
"Kahului-Wailuku-Lahaina, HI",HI,164268,72129,56319,15810,78.1,21.9
"Urban Honolulu, HI",HI,1000890,372602,338093,34509,90.7,9.3
"Ames, IA",IA,126195,53618,49702,3916,92.7,7.3
"Cedar Rapids, IA",IA,275435,121890,112468,9422,92.3,7.7
"Davenport-Moline-Rock Island, IA-IL",IA,381447,174427,159133,15294,91.2,8.8
"Des Moines-West Des Moines, IA",IA,719146,308330,291147,17183,94.4,5.6
"Dubuque, IA",IA,98718,42878,40482,2396,94.4,5.6
